duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,library
1.618659,3.643677,2.367798,0.049744,1.004150,100Kb,opencv
1.633585,3.610352,2.382080,0.020325,0.953613,100Kb,opencv
1.832929,3.507080,2.221252,0.013733,1.047546,100Kb,opencv
1.732790,3.467468,2.203308,0.011597,1.002686,100Kb,opencv
2.039416,4.119385,2.633240,0.017639,1.183960,100Kb,opencv
1.834548,3.887268,2.533508,0.014099,1.057068,100Kb,opencv
1.632073,3.301025,2.147522,0.013672,0.937500,100Kb,opencv
1.633075,3.413574,2.234680,0.013794,0.945557,100Kb,opencv
1.731917,3.438049,2.269531,0.014221,0.992004,100Kb,opencv
1.630124,3.219604,2.119812,0.008484,0.930908,100Kb,opencv
1.527166,3.419495,2.289368,0.014099,0.908630,100Kb,opencv
1.630412,3.400635,2.170959,0.018433,0.954285,100Kb,opencv
1.629566,3.414734,2.220032,0.009338,0.933533,100Kb,opencv
1.732431,3.418335,2.197021,0.014404,0.993652,100Kb,opencv
1.731929,3.632751,2.394165,0.012024,0.995239,100Kb,opencv
1.630962,3.291809,2.096069,0.015198,0.940674,100Kb,opencv
1.526529,3.102539,2.068787,0.012024,0.881714,100Kb,opencv
1.490586,3.102234,1.993408,0.008667,0.862488,100Kb,opencv
1.569574,3.237549,2.124695,0.014587,0.914001,100Kb,opencv
1.630752,3.286011,2.081970,0.009460,0.929016,100Kb,opencv
1.629242,3.307983,2.108215,0.014954,0.940796,100Kb,opencv
1.630400,3.563110,2.328552,0.014160,0.950317,100Kb,opencv
1.629421,3.316284,2.162415,0.015015,0.927124,100Kb,opencv
1.730859,3.407532,2.153809,0.009155,0.988953,100Kb,opencv
1.527788,3.276978,2.146057,0.013550,0.890442,100Kb,opencv
1.528280,3.272339,2.166809,0.012695,0.884583,100Kb,opencv
1.746581,3.372314,2.210632,0.009949,0.997620,100Kb,opencv
1.718122,3.482910,2.288025,0.012024,0.991028,100Kb,opencv
1.733915,3.565735,2.384644,0.014099,1.000916,100Kb,opencv
1.834481,3.490479,2.243225,0.012268,1.049438,100Kb,opencv
1.633029,3.213684,2.142639,0.005249,0.923706,100Kb,opencv
1.425388,2.657410,1.822998,0.005249,0.792969,100Kb,opencv
1.528362,2.985229,2.040771,0.005249,0.849670,100Kb,opencv
1.629347,3.035400,2.061951,0.005249,0.903320,100Kb,opencv
1.738552,3.272095,2.185120,0.005249,0.961609,100Kb,opencv
1.732912,3.261047,2.180664,0.005249,0.962830,100Kb,opencv
1.628159,3.018188,2.020447,0.005249,0.894470,100Kb,opencv
1.630210,3.040344,2.017883,0.005249,0.896057,100Kb,opencv
1.833429,3.552368,2.388550,0.005249,1.039124,100Kb,opencv
1.526947,2.885254,1.957336,0.005249,0.848816,100Kb,opencv
1.834134,3.344299,2.182617,0.005249,1.009399,100Kb,opencv
1.732419,3.424988,2.301086,0.005249,0.980713,100Kb,opencv
1.566247,3.104736,2.075378,0.005249,0.870483,100Kb,opencv
1.794336,3.485413,2.315247,0.004944,1.006409,100Kb,opencv
1.736256,3.235046,2.198181,0.004944,0.951843,100Kb,opencv
1.631304,3.087891,2.089844,0.004944,0.903198,100Kb,opencv
1.732481,3.324646,2.222351,0.004944,0.952026,100Kb,opencv
1.833926,3.372253,2.222534,0.004456,1.023682,100Kb,opencv
1.723223,3.271057,2.212646,0.004456,0.958069,100Kb,opencv
1.639922,3.005371,2.019287,0.004456,0.906921,100Kb,opencv
1.938236,3.526428,2.386108,0.004456,1.068665,100Kb,opencv
1.630767,3.062378,2.062683,0.004456,0.902344,100Kb,opencv
1.832715,3.365906,2.242859,0.004456,1.009277,100Kb,opencv
1.629209,3.103210,2.080444,0.004456,0.897705,100Kb,opencv
1.631355,3.069397,2.030823,0.004456,0.905457,100Kb,opencv
1.834193,3.514587,2.350647,0.004456,1.010010,100Kb,opencv
1.628270,3.166931,2.109741,0.004456,0.911499,100Kb,opencv
1.528284,3.115601,2.105286,0.005005,0.863403,100Kb,opencv
1.727634,3.245605,2.138245,0.005005,0.952576,100Kb,opencv
1.630596,3.128235,2.077576,0.005005,0.898987,100Kb,opencv
1.630199,3.144653,2.040405,0.005005,0.906921,100Kb,opencv
1.832622,3.388306,2.286072,0.005005,1.006714,100Kb,opencv
1.527776,2.854126,1.928284,0.005005,0.847656,100Kb,opencv
1.526795,3.069702,2.066406,0.005005,0.851501,100Kb,opencv
1.630666,3.568542,2.497253,0.005005,0.902161,100Kb,opencv
2.039734,3.568054,2.362976,0.005005,1.118530,100Kb,opencv
1.629663,3.226074,2.135742,0.005005,0.903687,100Kb,opencv
1.628749,2.988403,1.967834,0.005005,0.894409,100Kb,opencv
1.733959,3.164856,2.108093,0.005005,0.957336,100Kb,opencv
1.632229,3.194214,2.234436,0.005005,0.901855,100Kb,opencv
1.629909,3.033264,2.046509,0.005005,0.898621,100Kb,opencv
1.629366,3.712708,2.636230,0.005005,0.903931,100Kb,opencv
1.628080,3.169800,2.181335,0.005005,0.905151,100Kb,opencv
1.630322,3.684509,2.690552,0.005005,0.919556,100Kb,opencv
1.835427,3.288208,2.167542,0.005005,1.013855,100Kb,opencv
1.834382,3.268066,2.187988,0.005005,1.010010,100Kb,opencv
1.631819,2.997131,2.048279,0.005005,0.900208,100Kb,opencv
1.627844,3.157715,2.104187,0.005005,0.901062,100Kb,opencv
1.624042,2.906067,1.947693,0.005005,0.897583,100Kb,opencv
1.629155,3.002808,1.981323,0.005005,0.904968,100Kb,opencv
2.346764,3.963013,2.559204,0.005005,1.281860,100Kb,opencv
1.630721,2.994995,2.021118,0.005005,0.894836,100Kb,opencv
1.629913,3.171814,2.110657,0.003540,0.919800,100Kb,opencv
1.630477,3.109558,2.090698,0.003540,0.907898,100Kb,opencv
2.040093,3.552551,2.320801,0.003540,1.116760,100Kb,opencv
