compute_time,download_size,download_time,image,library,upload_size,upload_time
0.002415,100000,1.165014,100Kb,pillow,1454,0.436945
0.015611,100000,1.187698,100Kb,pillow,1454,0.552563
0.002416,100000,1.174461,100Kb,pillow,1454,0.402476
0.002414,100000,1.18453,100Kb,pillow,1454,0.40274
0.002398,100000,1.287538,100Kb,pillow,1454,0.4024
0.002432,100000,1.226731,100Kb,pillow,1454,0.451943
0.002403,100000,1.184141,100Kb,pillow,1454,0.401777
0.002364,100000,1.487346,100Kb,pillow,1454,0.50747
0.00242,100000,1.279077,100Kb,pillow,1454,0.410024
0.002421,100000,1.231412,100Kb,pillow,1454,0.457487
0.002385,100000,1.210373,100Kb,pillow,1454,0.376974
0.002903,100000,1.125808,100Kb,pillow,1454,0.46046
0.002402,100000,1.17603,100Kb,pillow,1454,0.40092
0.002519,100000,1.492511,100Kb,pillow,1454,0.402649
0.00237,100000,1.289691,100Kb,pillow,1454,0.40188
0.00242,100000,1.045602,100Kb,pillow,1454,0.54316
0.002389,100000,1.291013,100Kb,pillow,1454,0.402622
0.002445,100000,1.015887,100Kb,pillow,1454,0.460816
0.002405,100000,1.126296,100Kb,pillow,1454,0.461087
0.002417,100000,1.213015,100Kb,pillow,1454,0.374197
0.002408,100000,1.177832,100Kb,pillow,1454,0.399493
0.002429,100000,1.183994,100Kb,pillow,1454,0.402882
0.002466,100000,1.188762,100Kb,pillow,1454,0.39936
0.002431,100000,1.182587,100Kb,pillow,1454,0.402902
0.002453,100000,1.131468,100Kb,pillow,1454,0.460243
0.002423,100000,1.281817,100Kb,pillow,1454,0.402158
0.00265,100000,1.287075,100Kb,pillow,1454,0.402293
0.002388,100000,1.135203,100Kb,pillow,1454,0.453556
0.002408,100000,1.264675,100Kb,pillow,1454,0.42795
0.002398,100000,1.186974,100Kb,pillow,1454,0.402932
0.002401,100000,1.177161,100Kb,pillow,1454,0.401686
0.0024,100000,1.046317,100Kb,pillow,1454,0.440427
0.002402,100000,1.288623,100Kb,pillow,1454,0.40124
0.002362,100000,1.133348,100Kb,pillow,1454,0.456669
0.002434,100000,1.139191,100Kb,pillow,1454,0.447173
0.002415,100000,1.13067,100Kb,pillow,1454,0.454881
0.002395,100000,1.137596,100Kb,pillow,1454,0.452759
0.002385,100000,1.129952,100Kb,pillow,1454,0.456656
0.002392,100000,1.13376,100Kb,pillow,1454,0.450186
0.002394,100000,1.174448,100Kb,pillow,1454,0.414777
0.002389,100000,1.170606,100Kb,pillow,1454,0.419005
0.002421,100000,1.178357,100Kb,pillow,1454,0.40272
0.002387,100000,1.218154,100Kb,pillow,1454,0.370294
0.002418,100000,1.183921,100Kb,pillow,1454,0.401926
0.002434,100000,1.206671,100Kb,pillow,1454,0.363729
0.002407,100000,1.343224,100Kb,pillow,1454,0.454545
0.002412,100000,1.227142,100Kb,pillow,1454,0.361634
0.002408,100000,1.004612,100Kb,pillow,1454,0.458944
0.002485,100000,1.18607,100Kb,pillow,1454,0.402664
0.002392,100000,1.12747,100Kb,pillow,1454,0.459166
0.002433,100000,1.125664,100Kb,pillow,1454,0.460179
0.002385,100000,1.118129,100Kb,pillow,1454,0.357219
0.002383,100000,1.231117,100Kb,pillow,1454,0.462202
0.0024,100000,1.2869,100Kb,pillow,1454,0.402262
0.002403,100000,1.281567,100Kb,pillow,1454,0.402267
0.002399,100000,1.185075,100Kb,pillow,1454,0.402578
0.002387,100000,1.283912,100Kb,pillow,1454,0.402263
0.002406,100000,1.149224,100Kb,pillow,1454,0.440598
0.002426,100000,1.386929,100Kb,pillow,1454,0.409066
0.002447,100000,1.180671,100Kb,pillow,1454,0.402426
0.002372,100000,1.147405,100Kb,pillow,1454,0.441635
0.002389,100000,1.184788,100Kb,pillow,1454,0.402623
0.002431,100000,1.118916,100Kb,pillow,1454,0.366735
0.002383,100000,1.182875,100Kb,pillow,1454,0.401779
0.002462,100000,1.281966,100Kb,pillow,1454,0.402857
0.002442,100000,1.188456,100Kb,pillow,1454,0.402314
0.002396,100000,1.316393,100Kb,pillow,1454,0.374939
0.002849,100000,1.143957,100Kb,pillow,1454,0.442429
0.002452,100000,1.287633,100Kb,pillow,1454,0.402273
0.002441,100000,1.113276,100Kb,pillow,1454,0.365946
0.002372,100000,1.13602,100Kb,pillow,1454,0.449214
0.002413,100000,1.284481,100Kb,pillow,1454,0.402461
0.002386,100000,1.14474,100Kb,pillow,1454,0.443322
0.002415,100000,1.286178,100Kb,pillow,1454,0.40273
0.002417,100000,1.138748,100Kb,pillow,1454,0.444749
0.002517,100000,1.144317,100Kb,pillow,1454,0.445623
0.002455,100000,1.287303,100Kb,pillow,1454,0.403838
0.002465,100000,1.115133,100Kb,pillow,1454,0.464027
0.002411,100000,0.912933,100Kb,pillow,1454,0.472981
0.002384,100000,1.186493,100Kb,pillow,1454,0.40153
0.002425,100000,1.186285,100Kb,pillow,1454,0.401401
0.002392,100000,1.28674,100Kb,pillow,1454,0.401318
0.002403,100000,1.041745,100Kb,pillow,1454,0.432543
0.00245,100000,1.188094,100Kb,pillow,1454,0.401727
0.002409,100000,1.0853,100Kb,pillow,1454,0.360086
